,business_id,name,address,postal_code,latitude,longitude,stars,review_count,is_open,categories,wifi,parking,creditcard,reserve,groups,attributes.RestaurantsPriceRange2,alcohol,takeout,attire,delivery
6349,QoiLXUucsaTnT5GIidsvgw,World Cafe,6582 International Dr,32819,28.4578736,-81.469994,3.5,28,1,"Cafes, Restaurants, Breakfast & Brunch, Delis, American (Traditional), Burgers, British, Coffee & Tea, Fish & Chips, Food, Sandwiches",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,1.0,u'beer_and_wine',True,u'casual',True
6354,6g1MCtrNeolwR4-3CsZCPw,Wawa,3025 Curry Ford Rd,32806,28.5245300325,-81.3450131964,3.5,35,1,"Soup, American (New), Food, Convenience Stores, Sandwiches, Automotive, Restaurants, Coffee & Tea, Ice Cream & Frozen Yogurt, Gas Stations",'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,False,1.0,'beer_and_wine',True,'casual',True
6642,Fdh4gwAYeBv2FKgcjcF5Pg,Honey Baked Ham Company,2924 E Colonial Dr,32803,28.5530347,-81.3460863,3.5,15,1,"Food, Cafes, Delis, Meat Shops, Specialty Food, Event Planning & Services, Sandwiches, Caterers, Restaurants",,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,False,1.0,'none',True,'casual',True
6696,NWQTLlU34foh-s_p4I28qw,Ruby Tuesday,13145 S Orange Blossom Trail,32837,28.3745227,-81.4038792,3.5,61,0,"Restaurants, American (Traditional), Burgers",'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,2.0,u'full_bar',True,u'casual',True
6719,FytZ5cMQXcSw4CWxtdIlgw,Brooklyn Coffee Shop,912 N Mills Ave,32803,28.557166814,-81.3644911348,4.5,127,0,"Comfort Food, Restaurants, Food, Breakfast & Brunch, Tapas Bars, Brazilian, Coffee & Tea, Tapas/Small Plates",u'free',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,True,True,1.0,u'none',True,'casual',False
6738,CFPq1Plq3OU6uNL5k3Ue0g,ICON Park,8375 International Dr,32819,28.4444018,-81.4695021,3.5,391,1,"Amusement Parks, Local Flavor, Active Life, Arts & Entertainment, Tours, Restaurants, Hotels & Travel, Observatories, Shopping Centers, Shopping",,"{'garage': True, 'street': False, 'validated': False, 'lot': True, 'valet': True}",True,,,2.0,,,,
6743,h7dpYiNvYFkd_j8yc4OsRg,Pita Pit,11798 E Colonial Dr,32817,28.5653875,-81.2083568,4.0,18,0,"Fast Food, Restaurants, Sandwiches, Mediterranean, American (New), Food",,,True,False,True,1.0,u'none',True,'casual',True
6809,ExhMCqfWAfUXS49ujPbZIw,Martha's Vineyard,1800 Epcot Resorts Blvd,32830,28.3712577,-81.556953,3.0,8,1,"Lounges, Restaurants, Bars, Nightlife, American (Traditional)",'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,2.0,u'full_bar',False,'casual',False
6852,fqA7BmH7ky64Ue530OYo3g,Chai Thai Cuisine,3334 Curry Ford Rd,32806,28.5242029,-81.3414157,3.5,5,0,"Thai, Restaurants",,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,True,2.0,'none',True,u'casual',False
6884,h22laRdj9atAVgY3LWkKug,Coral Reef Restaurant,1520 Avenue Of The Stars,32836,28.3752174,-81.5504278,3.5,44,1,"Seafood, Restaurants",'free',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,True,2.0,,False,'casual',False
6885,SwVxsdUD3khVMGs84kzdgw,Pho Pasteur,710 S Goldenrod Rd,32822,28.5370501,-81.285846,3.5,16,0,"Restaurants, Vietnamese",,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,1.0,u'beer_and_wine',True,u'casual',True
6943,7xjtFqEbovreJ667KaP90A,Foxtail Coffee Express,805 Lee Rd,32810,28.6086970725,-81.3914696127,4.0,32,1,"Breakfast & Brunch, Coffee & Tea, Food, Bagels, Restaurants",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,,1.0,u'none',True,,True
6964,xcbHarqv60yb7LFsy_VNhA,Panda Express,"9985 Tagore Pl, Ste 105",32824,28.3901379643,-81.2449768228,3.0,26,1,"Chinese, Fast Food, Restaurants",,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,True,1.0,,True,'casual',True
7000,X3PDvwmyBylnkPfXNcz0qw,Amor Em Pedacos Bakery,5576 International Dr,32819,28.4619529,-81.4556644,4.0,149,1,"Food, Bakeries, Brazilian, Desserts, Cupcakes, Restaurants",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,1.0,u'beer_and_wine',True,'casual',False
7008,H3R80F9BO_EwZjisBpwtkw,KFC,436 S Semoran Blvd,32807,28.5379263218,-81.3108222884,1.5,18,1,"Chicken Wings, Restaurants, Fast Food, Chicken Shop",None,,True,False,True,1.0,,True,'casual',True
7066,LJ4bC5wI6qChwgc8VtcmyQ,Nine18,1 N Jacaranda St,32836,28.403354,-81.527306,4.0,29,0,"American (New), Restaurants",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': True}",True,True,True,3.0,u'full_bar',False,'dressy',False
7137,a_H86-nBVnzSfAtwjDJAkA,Pizza Hut,"10395 Narcoossee Rd, Ste 200",32827,28.4162864381,-81.2423944473,2.5,22,1,"Restaurants, Chicken Wings, Pizza, Italian",,,True,False,False,1.0,,True,'casual',True
7207,MA95GuvTj7TE6hzw80SK8g,Little Caesar's Pizza,11222 E Colonial Dr,32817,28.5673736,-81.2196102,2.0,15,1,"Pizza, Restaurants",,,True,False,False,1.0,u'none',True,,
7215,PwWhrx_MOZSNT0nU2qNm_Q,David's Club Bar & Grill,6001 Destination Pkwy,32819,28.424891,-81.457921,3.0,92,1,"American (New), Restaurants, American (Traditional), Nightlife, Bars, Gastropubs",u'paid',"{'garage': True, 'street': False, 'validated': True, 'lot': False, 'valet': True}",True,True,True,2.0,u'full_bar',True,u'casual',False
7288,_OxNsCtiR3JoTtpFYZWVlA,Sabor do Sul Brazilian Steakhouse,"8204 Crystal Clear Ln, Ste 1700",32809,28.4481129,-81.4006804,3.5,31,0,"Restaurants, Buffets, Steakhouses, Brazilian",u'free',"{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,True,2.0,u'full_bar',True,u'casual',True
7320,o9hs4E-B6lMugSloQIk1lg,A Slice Of NY Pizza,"13851 S John Young Pkwy, Ste 106",32837,28.3659456,-81.4240781,4.0,97,1,"Food, Pizza, Restaurants, Event Planning & Services, Caterers, Desserts",u'free',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,False,True,1.0,'none',True,u'casual',True
7328,WCBWOntHjrySQvV1vQXGMw,Nature's Table Cafe,8701 Maitland Summit Blvd,32810,28.6356695,-81.3999075,4.0,7,1,"Cafes, Restaurants",'free',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,True,1.0,u'none',True,'casual',False
7367,nbD4hcCWGT3VgL0KkQ70Jg,Taj Punjabi,6524 Carrier Dr,32819,28.4557276,-81.4700936,2.5,70,1,"Indian, Restaurants, Halal, Pakistani",u'no',None,True,True,True,2.0,u'beer_and_wine',True,u'casual',True
7382,Bn_dXarq8TnGHm4VIEUVHA,QDOBA Mexican Eats,"One Airport Blvd, Airside 3, Orlando Intrnl Airport (MCO), Airside 3",32827,28.427929,-81.31428,2.5,64,1,"Tex-Mex, Mexican, Restaurants, Fast Food, Event Planning & Services, Caterers",'no',"{'garage': None, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,False,1.0,'beer_and_wine',True,u'casual',True
7433,HEf18-z7MyGPlb_ezY9_4w,My Boricua Kitchen,,32824,28.3756472,-81.3619402,4.5,14,1,"Caribbean, Food Trucks, Food, Puerto Rican, Restaurants",,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,False,True,,,True,,
7521,Q-Tm6PrY5LIdaZZLdIx26A,The Flame Broiler,"54 West Church St, Ste 150",32801,28.5400479,-81.3801545,3.5,41,0,"Restaurants, American (New)",u'no',"{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,True,1.0,u'none',True,u'casual',True
7545,5K6W5eZKzJNImYVxHG7G4g,Texas de Brazil,"5259 International Dr, Ste F1",32819,28.4676958,-81.4510707,4.0,825,1,"Steakhouses, Gluten-Free, Buffets, Event Planning & Services, Brazilian, Venues & Event Spaces, Seafood, Restaurants",u'no',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': True}",True,True,True,3.0,'full_bar',True,'casual',True
7601,5hvOO576Bf3UcgYbeb9dcQ,J & G Sport Bar,4976 Millenia Blvd,32839,28.479247,-81.441587,4.0,8,0,"Nightlife, Food, Specialty Food, Ethnic Food, Pizza, Bars, Restaurants, Sports Bars",,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,True,1.0,u'full_bar',True,u'casual',True
7668,U2Hqg6hg76Qq5sVAdaiNyQ,La Madeleine,"8001 S Orange Blossom Trl, Ste 202",32809,28.4458682,-81.3952839,4.0,72,0,"Food, Event Planning & Services, Bakeries, Caterers, Breakfast & Brunch, Cafes, Restaurants, French, Desserts",'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,2.0,u'none',True,'casual',None
7729,mjPiYLFTxq_vmJHX9nX7ag,Panera Bread,3463 E Colonial Dr,32803,28.5546013,-81.3417831,2.5,60,1,"Bagels, Breakfast & Brunch, Food, Salad, Delis, Sandwiches, Bakeries, Soup, Restaurants",u'free',"{'garage': False, 'street': None, 'validated': False, 'lot': True, 'valet': False}",True,False,True,1.0,u'none',True,u'casual',True
7767,NkYfCBULoKFyk9-eTt_jtQ,George's Hideaway,5507 Edgewater Dr,32810,28.6086263,-81.4120582,4.0,16,1,"Nightlife, Restaurants, Pool Halls, Dive Bars, Bars, American (Traditional)",u'paid',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,1.0,u'full_bar',True,'casual',False
7774,2VMQKBtsCrzpVlaFbT36yw,Castello's Pizza,8947 Conroy Windermere Rd,32835,28.494512,-81.507184,3.0,31,1,"Restaurants, Food, Pizza, Food Delivery Services",u'no',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,,3.0,u'none',True,u'casual',True
7807,q9hetnjt6QFz6lOj4IrTuQ,Panera Bread,11472 University Blvd,32817,28.59716,-81.221564,2.5,35,1,"Soup, Food, Salad, Restaurants, Bakeries, Bagels, Delis, Sandwiches, Breakfast & Brunch",'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,1.0,u'none',True,u'casual',True
7822,GZg3l9IYCWV5JDL3rlhkTg,Royal Indian Cuisine and Bar,8216 World Center Dr,32821,28.3566253,-81.4946355,4.0,43,1,"Bars, Nightlife, Beer Bar, Indian, Restaurants",u'no',"{'garage': None, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,True,True,,u'beer_and_wine',True,,True
7894,LnqoOx4fa8LUxgpRjZHVog,Sal's Market Deli,5601 Universal Blvd,32819,28.480744,-81.460706,3.5,54,1,"Restaurants, Delis",'free',"{'garage': False, 'street': False, 'validated': True, 'lot': False, 'valet': False}",True,False,True,2.0,u'beer_and_wine',True,u'casual',False
7914,npkypk0H-ihQGMauL3jjFQ,Moe's Southwest Grill,"11062 International Dr Unit, Ste 164",32821,28.4045286,-81.4570374,3.0,46,1,"Tex-Mex, Restaurants, Mexican",'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,1.0,'none',True,'casual',True
7943,a2c2LEBXmFgyCeklauuPsw,Bonchon Orlando,"5475 Orlando Gateway Village Cir, 102A",32812,28.456245,-81.31096,3.5,288,1,"Korean, Restaurants, Chicken Wings, Asian Fusion",'no',"{'garage': False, 'street': None, 'validated': False, 'lot': True, 'valet': False}",True,False,True,2.0,u'beer_and_wine',True,'casual',True
8078,kvHrD9Ifzu5Gr8o48cbeBA,Hooters,5300 Kirkman Rd,32819,28.4853735046,-81.459364927,2.5,80,1,"Restaurants, Nightlife, American (Traditional), American (New), Bars, Sports Bars, Chicken Wings",'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,2.0,u'full_bar',True,'casual',True
8101,wWyPhdBD6H8HyD-aXlYAuw,Boardwalk Fresh Burgers & Fries,3162 E Colonial Dr,32803,28.5529939197,-81.3432884216,2.5,43,0,"American (Traditional), Restaurants, Burgers, Fast Food",u'no',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,1.0,u'beer_and_wine',True,u'casual',False
8113,UK4YvnAQYLIJQvmMb9RKdg,Solaris,8701 World Center Dr,32821,28.3609503,-81.5099458,3.5,42,0,"Restaurants, American (Traditional)",'free',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,True,2.0,u'full_bar',False,u'casual',False
8123,kSTjBjuvqpKU65PwrjzUmg,Garibaldi Mexican Restaurant,929 N Semoran Blvd,32807,28.5591406,-81.3103922,3.5,267,0,"Restaurants, Mexican",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,2.0,u'full_bar',True,'casual',False
8333,4ukzzkXyzFO_iu_lMuyT2Q,Oley's Kitchen & BBQ,2700 Rio Grande Ave,32805,28.51395,-81.401572,4.0,176,1,"Caribbean, Soul Food, American (New), Barbeque, Restaurants",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,2.0,u'none',True,u'casual',True
8364,0BGoel6on7yGvojzOqOEAQ,Tiffins Restaurant,2901 Osceola Pkwy,32830,28.3569869189,-81.5914710466,4.0,436,1,"Desserts, Restaurants, Food, African, Salad, American (New)",'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,3.0,'full_bar',False,'casual',False
8376,5Ler8jIXPiQmNx3suyUjBA,Wendy's,3020 West Sand Lake Road,32819,28.4496307,-81.4247952,3.0,13,1,"Hot Dogs, Burgers, Fast Food, Restaurants",'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,1.0,,True,'casual',True
8378,iZ5aarlpBZlW64xdS1Ck1A,Belle Isle Bayou,5180 S Conway Rd,32812,28.4807588009,-81.3321949634,3.0,50,0,"Cajun/Creole, Food, Restaurants",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,2.0,u'full_bar',True,u'casual',True
8471,ZP0ciPjCVNz4aRPmxvCVDQ,Sweet Tomatoes,4678 E Colonial Dr,32803,28.552213,-81.327419,3.5,165,0,"Buffets, Vegetarian, Restaurants, Salad, Soup",u'no',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,2.0,'none',True,'casual',False
8502,EaZlyWhT0MawKf6DOyh2HA,Jersey Mike's Subs,9202 Jeff Fuqua Blvd,32827,28.43122864,-81.30757904,3.0,26,1,"Fast Food, Delis, Sandwiches, Restaurants",u'no',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,True,2.0,'none',True,'casual',True
8525,fdPVA0QmidV1KxO-c_CY8Q,Camila's Restaurant,5458 International Dr,32819,28.4615245,-81.4531757,3.5,107,1,"Restaurants, Brazilian",'free',"{'garage': False, 'street': False, 'validated': False, 'lot': None, 'valet': False}",True,False,True,2.0,'full_bar',True,u'casual',True
8566,nOBDayqXRcUIGAIjEBXnXQ,Keke's Breakfast Cafe,"2433 S Hiawassee Rd, Ste 130",32835,28.5153043,-81.4839594,4.0,93,1,"American (Traditional), Breakfast & Brunch, Restaurants",'no',"{'garage': None, 'street': False, 'validated': False, 'lot': None, 'valet': False}",True,False,True,2.0,'none',True,'casual',True
8626,5JT7wa6_RtDTIAu_cA4XPA,Dunkin',9898 International Dr,32819,28.4241627,-81.4614025,2.0,35,1,"Sandwiches, Food, Coffee & Tea, Fast Food, Cafes, Ice Cream & Frozen Yogurt, Restaurants, Donuts",'free',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,,1.0,,True,,True
8694,uC6o9LwG3ejw4RTJjMtFVg,Peach Valley Cafè,5072 Dr Philips Blvd,32819,28.4919971,-81.4918124,4.0,296,0,"Comfort Food, Diners, Breakfast & Brunch, American (Traditional), Cafes, Automotive, Restaurants",'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,2.0,u'beer_and_wine',True,u'casual',False
8786,RdHZAcsilwT61oxFtkZYCw,Pizza Hut,12195 S Apopka Vineland Rd,32836,28.3879785404,-81.5057661834,3.0,32,1,"Chicken Wings, Pizza, Food, Food Delivery Services, Italian, Restaurants",,None,True,False,True,1.0,,True,,True
8809,SwafLjsIK8X4F6md2n6PRw,Waldorf Astoria,14200 Bonnet Creek Resort Ln,32821,28.3536503093,-81.5343441506,4.0,328,1,"Restaurants, Breakfast & Brunch, Hotels & Travel, Event Planning & Services, Brasseries, Hotels",'free',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': True}",True,True,True,4.0,u'full_bar',True,u'dressy',True
8821,ooNOrdHdhmhS7guiIpDDuA,Another Broken Egg Cafe,"6324 S Semoran Blvd, Ste 1001",32822,28.4720491,-81.3107177,4.5,8,1,"American (Traditional), Restaurants, Breakfast & Brunch, Cafes",,,,,,2.0,,,,True
8843,mSo-QZ-soa01QzowFHS__Q,McDonald's,451 S Goldenrod Rd,32822,28.537365445,-81.2851823075,1.5,19,1,"Food, Restaurants, Coffee & Tea, Burgers, Fast Food",'free',,True,False,True,1.0,'none',True,'casual',True
8844,S0QEoRla89uZyI1BCkqtxw,Valkyrie Doughnuts,"12226 Corporate Blvd, Ste 160",32817,28.6069310793,-81.209671868,4.0,272,1,"Ice Cream & Frozen Yogurt, Vegan, Restaurants, Food, Donuts, Bakeries",u'no',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,False,2.0,u'none',None,u'casual',True
8852,uJYsKvT9lg2bos-4t5j34w,Jax 5th Ave Deli & Ale House,3400 Edgewater Dr,32804,28.5757785543,-81.3956451416,3.5,27,0,"Nightlife, Sports Bars, Delis, Bars, Restaurants",u'no',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,1.0,u'full_bar',True,'casual',False
8914,dmVQtqiGIJQdGuOVzh39Uw,Jamaican Cuisine Jerk Spot,5722 Old Cheney Hwy,32807,28.5616757,-81.3096543,4.0,7,0,"Vegan, Food, Restaurants, Caribbean, Food Delivery Services",,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,False,1.0,,,u'casual',True
8963,-ESlCPkuHtl0xlCKQWhJQQ,Sabai Sabai Thai Cafe,1672 N Goldenrod Rd,32807,28.5703525,-81.2862295,3.0,5,0,"Thai, Restaurants",,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,,True,1.0,u'none',True,u'casual',
9011,5SrDt_YHz29CIaKVp9_9yQ,Colombian Bakery,"14650 Gatorland Dr, Unit 6",32837,28.353271352,-81.4049939811,4.5,12,1,"Bakeries, Restaurants, Latin American, Cafes, Colombian, Food",'no',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,False,1.0,u'none',True,'casual',True
9024,k4zJfURHmAWRMECfGS5fxQ,Sushi Katana,"4192 Conroy Rd, Ste 103",32839,28.488471,-81.429614,4.5,607,1,"Restaurants, Sushi Bars",u'no',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,2.0,u'beer_and_wine',True,'casual',None
9069,uQa8d6ZGQu5Hng9NxXs3mg,Winter Park Biscuit Co.,3201 Corrine Dr,32803,28.568361427,-81.3437672436,4.5,28,1,"Vegan, Restaurants, Desserts, Food, Pop-Up Restaurants, American (Traditional)",,,,,,2.0,,,,
9142,F7tj9dFlb32gtuukk1E32g,Burger King,2892 South Orange Ave,32806,28.5096447,-81.3766741,1.5,38,1,"Fast Food, Restaurants, Burgers",,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,True,1.0,'none',True,'casual',True
9236,1fOuiCzrduZUc-RoPgzpqg,Friendly Confines,4757 S Orange Ave,32806,28.4941679,-81.3747182,3.5,68,0,"Chicken Wings, Burgers, Salad, Restaurants",'free',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,True,2.0,'full_bar',True,'casual',False
9281,AnoUKbQo87YYDX9t4TB-TQ,Subway,"2394 Oak Ridge Rd, Ste 2394",32809,28.4716107,-81.4112079,2.5,5,0,"Restaurants, Fast Food, Sandwiches",,"{'garage': False, 'street': None, 'validated': False, 'lot': None, 'valet': False}",True,False,True,1.0,u'none',True,u'casual',True
9313,Si__hOC86UBaG1-JvB-N0Q,Zeytin Turkish Cuisine,4439 Edgewater Dr,32804,28.597897,-81.3999748,5.0,134,1,"Mediterranean, Turkish, Restaurants, Vegetarian, Halal",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,2.0,u'beer_and_wine',True,'casual',True
9419,4UdN4CrCNjWjEpNUR3aSOw,Smokey Bones Bar & Fire Grill,3400 E Colonial Dr,32803,28.5529522,-81.3407849,3.5,210,1,"Restaurants, Bars, Barbeque, Nightlife, Burgers, Sports Bars, American (New), American (Traditional), Chicken Wings",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,2.0,u'full_bar',True,'casual',True
9435,EaV9X0hpWP7YYO1Qth4uzg,Subway,4078 Town Center Blvd,32837,28.36150941,-81.4253287529,2.5,15,1,"Restaurants, Sandwiches, Fast Food",,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,1.0,u'none',True,u'casual',True
9438,mUZhHf68AgwgmeQWs6bu5w,Fonda El Criollito Restaurant,4701 S Semoran Blvd,32822,28.4948323,-81.309124,3.0,16,1,"Latin American, Restaurants",u'no',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,3.0,u'none',True,'casual',True
9451,XkkM3-jisNT7CZiXty-c7A,Gringos Locos,400 W Church St,32801,28.5389544,-81.3842762,2.5,6,1,"Tex-Mex, Restaurants, Mexican",,,,,,1.0,,,,
9512,MHJxve6Y76BcXCtJ7rS-BA,Sus Hi Eatstation,1830 E Colonial Dr,32803,28.5528706,-81.357687,4.0,119,1,"Japanese, Restaurants, Asian Fusion, Sushi Bars",u'no',"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",True,False,True,1.0,u'beer_and_wine',True,u'casual',True
9537,RhaFmohMt65bJxOa_54Asg,El Rinconcito Restaurant & Bar,5600 Butler National Dr,32812,28.4653063646,-81.3106422221,3.5,45,1,"Caribbean, Restaurants, Nightlife, Bars, Cuban, Latin American",'no',"{'garage': False, 'street': False, 'validated': None, 'lot': True, 'valet': False}",True,False,True,1.0,'beer_and_wine',True,,True
9541,JzuiySs1YZON_71TqAWIKQ,Toasted - UCF Area,11551 University Blvd,32817,28.598317,-81.219392,4.0,91,1,"Salad, Barbeque, Damage Restoration, Restaurants, Home Services, Burgers, Vegan, Sandwiches",'no',"{'garage': False, 'street': None, 'validated': False, 'lot': None, 'valet': False}",True,False,True,1.0,u'none',True,'casual',True
9794,_JlTf8X3R1v3igOYthZdkQ,Cooper's Hawk Winery & Restaurant - Waterford Lakes,529 N Alafaya Trl,32828,28.554734,-81.201775,4.5,729,1,"Wineries, Restaurants, Nightlife, American (Traditional), Food, Arts & Entertainment, Burgers, Wine Tasting Room, Bars, Wine Bars, American (New), Sandwiches",'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,2.0,'full_bar',True,'casual',True
9880,ho0rwUdiR615Tk1FAb5FrQ,Chipotle Mexican Grill,12648 S Orange Blossom Trl,32837,28.3812840345,-81.4050936819,2.5,48,1,"Fast Food, Mexican, Restaurants",'no',"{'garage': False, 'street': None, 'validated': False, 'lot': True, 'valet': False}",True,False,True,1.0,'none',True,'casual',True
9918,deTlQzwpIRfgmAuDa0841A,Tokyo Steakhouse & Sushi Bar,6481 S Chickasaw Trl,32829,28.4704778535,-81.2665775309,3.5,156,1,"Japanese, Restaurants, Sushi Bars",u'no',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,2.0,u'beer_and_wine',True,u'casual',False
9970,1RKjU_2GNn_3GpCMThCqGQ,Mikado,8701 World Center Dr,32821,28.3609288218,-81.5113628532,3.5,68,1,"Restaurants, Steakhouses, Sushi Bars, Japanese",'no',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,True,3.0,u'full_bar',False,'casual',False
9971,JdIO0SZKGZPonTuZH8mDXQ,Hyatt Regency Orlando,9801 International Dr,32819,28.4278023064,-81.4685457427,4.0,529,1,"Venues & Event Spaces, Hotels, Diners, Hotels & Travel, Restaurants, Event Planning & Services",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': True}",True,True,True,3.0,u'full_bar',True,u'dressy',True
10089,qsQ4hdS8iVIKzH9OdCjGQQ,Mama Nems,"805 S Kirkman Rd, Ste 106",32811,28.531769,-81.458473,3.0,41,0,"Soul Food, Restaurants, Southern",u'no',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,2.0,u'none',True,u'casual',False
10125,AaW5qvILHRqQPLTY6uBniQ,Wawa,2500 Silver Star Rd,32804,28.5772841,-81.4150204,4.0,35,1,"Restaurants, Food, Gas Stations, Convenience Stores, Automotive, Sandwiches",'no',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,1.0,u'beer_and_wine',True,u'casual',True
10135,PVVb8gJODKOMO7nB_q9kMg,Mecatos Bakery & Café,"20 N Orange Ave, Ste 102A",32801,28.542840516,-81.3792076,4.5,16,1,"Coffee & Tea, Breakfast & Brunch, Cafes, Desserts, Food, Restaurants, Bakeries",,,True,,,1.0,,True,,True
10261,36RWgLo8KbZSdYrtjbaSPw,Boston Market,4201 E Colonial Dr,32803,28.5539422,-81.3331711292,3.0,31,1,"Restaurants, American (Traditional), Comfort Food, Sandwiches, Chicken Shop, Event Planning & Services, Caterers",u'no',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,True,1.0,u'none',True,u'casual',True
10340,ryvyyUBOdIsCYXsBc18QJg,Suki Hanna,4060 Town Center Blvd,32837,28.3614444367,-81.4250873271,3.5,260,1,"Restaurants, Sushi Bars, Japanese",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,2.0,u'beer_and_wine',True,u'casual',True
10378,kBBlPrpUA4oniJ6uaggh8g,Chili's,11942 Narcoossee Rd,32832,28.3914907,-81.2450425,2.5,84,1,"Nightlife, American (Traditional), Restaurants, Tex-Mex, Bars",u'no',"{'garage': None, 'street': None, 'validated': False, 'lot': True, 'valet': False}",True,False,True,2.0,'full_bar',True,'casual',True
10493,xL3yZ_KXMr9J35DgsZqUug,Winnie Palmer Hospital Cafeteria,"85 W Miller St, Fl 1",32806,28.5242930202,-81.3788772965,4.5,14,1,"Cafeteria, Restaurants, Salad",'free',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,True,1.0,'none',True,'casual',False
